employee_id,fullname,final_match_rate,tgv_cognitive,tgv_strategy,tgv_execution,tgv_teamwork
EMP100803,Maya Kusuma Putra,99.4798041615667,100.0,100.0,100.0,97.91921664626683
EMP100050,Joko Ridwan,99.4798041615667,100.0,100.0,100.0,97.91921664626683
EMP100838,Nurlita Permadi,99.4798041615667,100.0,100.0,100.0,97.91921664626683
EMP100825,Yuni Handayani,99.4798041615667,100.0,100.0,100.0,97.91921664626683
EMP101848,Yuni Pamungkas,99.4798041615667,100.0,100.0,100.0,97.91921664626683
EMP101148,Ahmad Hartanto,99.4798041615667,100.0,100.0,100.0,97.91921664626683
EMP101226,Yoga Erlangga Mahendra,99.4798041615667,100.0,100.0,100.0,97.91921664626683
EMP100327,Vania Rachman Utami,99.4798041615667,100.0,100.0,100.0,97.91921664626683
EMP100052,Sari Yudhistira Mahendra,99.4798041615667,100.0,100.0,100.0,97.91921664626683
EMP100615,Ahmad Halim Nugroho,99.4798041615667,100.0,100.0,100.0,97.91921664626683
EMP101547,Iman Maulana,99.4798041615667,100.0,100.0,100.0,97.91921664626683
EMP100319,Valdo Anugrah Ramadhan,99.4798041615667,100.0,100.0,100.0,97.91921664626683
EMP101550,Ayunda Firmansyah,99.4798041615667,100.0,100.0,100.0,97.91921664626683
EMP101686,Prasetyo Suharto,99.4798041615667,100.0,100.0,100.0,97.91921664626683
EMP101700,Nabila Indrawan,99.4798041615667,100.0,100.0,100.0,97.91921664626683
EMP101986,Wahyu Pratomo,99.38172772522148,99.60769425461908,100.0,100.0,97.91921664626683
DUP9801,Ayu Kusuma Santoso,99.38172772522148,99.60769425461908,100.0,100.0,97.91921664626683
EMP101963,Zahra Mahendra,99.01013581563892,98.12132661628883,100.0,100.0,97.91921664626683
EMP100313,Budi Qolbi Hidayat,99.01013581563892,98.12132661628883,100.0,100.0,97.91921664626683
EMP100476,Sari Hartanto,98.91205937929368,97.72902087090792,100.0,100.0,97.91921664626683
EMP101428,Umar Wibowo,98.52418207681366,100.0,94.09672830725464,100.0,100.0
EMP100750,Joko Qolbi Hasibuan,98.20811370536744,94.9132381752029,100.0,100.0,97.91921664626683
EMP101802,Tania Wijaya Lukman,98.20811370536744,94.9132381752029,100.0,100.0,97.91921664626683
EMP101055,Yoga Candra Hartanto,98.05295020054419,94.29258415590989,100.0,100.0,97.91921664626683
EMP101712,Luthfi Nugroho,98.05295020054419,94.29258415590989,100.0,100.0,97.91921664626683
EMP100103,Ayu Ginting,98.02620769617549,94.18561413843513,100.0,100.0,97.91921664626683
EMP100039,Budi Adi Permadi,98.00398623838036,100.0,94.09672830725464,100.0,97.91921664626683
EMP100571,Yuni Setiawan,98.00398623838036,100.0,94.09672830725464,100.0,97.91921664626683
EMP101337,Lestari Jatmiko Situmorang,98.00398623838036,100.0,94.09672830725464,100.0,97.91921664626683
EMP100186,Rizki Halim,97.99429691518989,100.0,94.05797101449275,100.0,97.91921664626683
